name,body_part,exercise_category,base_calories_burned,description,media_url
해머 스트렝스 하이 로우,등,상체근력운동,6.3,하이 로우 머신으로 상체 근력 강화,
해머 스트렝스 와이드 풀다운,등,상체근력운동,6.1,와이드 풀다운 머신 사용,
해머 스트렝스 루마니안 데드리프트,등,전신강화운동,7,루마니안 데드리프트로 전신 강화,
해머 스트렝스 MTS 원 암 D Y 로우,등,상체근력운동,6.5,원 암 D Y 로우를 위한 머신 운동,
해머 스트렝스 MTS 원 암 로우,등,상체근력운동,6.4,해머 스트렝스 원 암 로우 운동,
해머 스트렝스 MTS 원 암 하이 로우,등,상체근력운동,6.3,원 암 하이 로우를 위한 머신 운동,
해머 스트렝스 MTS 원 암 프론트 풀다운,등,상체근력운동,6.2,원 암 프론트 풀다운 머신 운동,
해머 스트렝스 원 암 프론트 랫 풀다운,등,상체근력운동,6.1,프론트 랫 풀다운 운동,
해머 스트렝스 원 암 하이 로우,등,상체근력운동,6.2,해머 스트렝스 원 암 하이 로우,
해머 스트렝스 원 암 와이드 풀다운,등,상체근력운동,6.3,원 암 와이드 풀다운 머신 운동,
Panatta 슈퍼 로잉,등,상체근력운동,6.4,Panatta 로잉 머신 사용,
Panatta 슈퍼 하이 로우,등,상체근력운동,6.5,Panatta 하이 로우 머신 운동,
케이블 데드리프트,등,전신강화운동,7.5,케이블 머신을 이용한 데드리프트,
스위밍 (필라테스),등,유산소운동,4,필라테스 스위밍 동작으로 전신 유산소운동,
플레이트 백 익스텐션,등,코어강화운동,4.3,플레이트를 사용하여 허리 강화,
덤벨 백 익스텐션,등,코어강화운동,4.2,덤벨로 허리 근육 강화,
바벨 백 익스텐션,등,코어강화운동,4.5,바벨로 허리 근육 단련,
케이블 슈러그,등,상체근력운동,5.6,케이블로 상체 근육 단련,
패러럴 그립 와이드 풀다운 리어 머신,등,상체근력운동,5.9,패러럴 그립으로 와이드 풀다운 수행,
덤벨 실로우,등,상체근력운동,5.8,덤벨을 사용한 실로우 운동,
바벨 실로우,등,상체근력운동,5.9,바벨을 이용한 실로우 운동,
덤벨 W 레이즈,등,유연성및스트레칭운동,3.2,W 자세로 덤벨 레이즈,
덤벨 A 레이즈,등,유연성및스트레칭운동,3.3,A 자세로 덤벨 레이즈,
덤벨 T 레이즈,등,유연성및스트레칭운동,3.4,T 자세로 덤벨 레이즈,
덤벨 Y 레이즈,등,유연성및스트레칭운동,3.5,Y 자세로 덤벨 레이즈,
Y 레이즈,등,유연성및스트레칭운동,3.6,Y 자세로 스트레칭,
인클라인 덤벨 W 레이즈,등,유연성및스트레칭운동,3.3,인클라인 W 레이즈 수행,
인클라인 덤벨 A 레이즈,등,유연성및스트레칭운동,3.4,인클라인 A 레이즈 수행,
인클라인 덤벨 T 레이즈,등,유연성및스트레칭운동,3.5,인클라인 T 레이즈 수행,
맥그립 랫 풀다운,등,상체근력운동,6.1,맥그립을 사용한 랫 풀다운,
원 암 하이 로우 머신,등,상체근력운동,6,원 암 하이 로우 머신 사용,
원 암 로우 로우 머신,등,상체근력운동,6.1,원 암 로우 로우 머신 운동,
리버스 펙 덱 플라이 (등 집중),등,상체근력운동,5.8,리버스 펙 덱 플라이 수행,
플레이트 로디드 시티드 로우,등,상체근력운동,6.4,플레이트 로디드 시티드 로우 머신 사용,
풀오버 머신 (등 집중),등,상체근력운동,5.7,풀오버 머신을 사용하여 등 강화,
트랩바 데드리프트,등,전신강화운동,7.2,트랩바를 사용한 전신 데드리프트,
밴드 풀 어파트,등,유연성및스트레칭운동,3.2,밴드를 이용하여 등을 스트레칭,
닐링 푸시업 로우,등,코어강화운동,4.5,무릎을 꿇고 수행하는 푸시업 로우,
핸드 릴리즈 푸시업,등,코어강화운동,4.8,핸드를 들어올리며 수행하는 푸시업,
닐링 어퍼 백 로테이션,등,유연성및스트레칭운동,3.4,무릎 꿇고 상체 회전 스트레칭,
레그 풀,등,유연성및스트레칭운동,3,다리를 당겨서 스트레칭,
벤트 니 라잉 플로어 로우,등,상체근력운동,5.5,누운 상태에서 무릎을 구부리고 로우 수행,
실 푸시업,등,상체근력운동,5.6,몸을 실처럼 곧게 하며 수행하는 푸시업,
시티드 백 스퀴즈,등,유연성및스트레칭운동,3.3,앉은 자세에서 등 근육을 스퀴즈,
시티드 비하인드 백 레이즈,등,유연성및스트레칭운동,3.4,앉은 자세에서 뒤로 레이즈 수행,
시티드 펄스 백 스퀴즈,등,유연성및스트레칭운동,3.5,펄스 동작으로 등 근육 스트레칭,
슬라이딩 레그 버드 독,등,코어강화운동,4.2,슬라이딩 동작을 포함한 버드 독 운동,
스핑크스 자세,등,유연성및스트레칭운동,3,스핑크스 자세로 스트레칭,
스탠딩 백 스퀴즈,등,유연성및스트레칭운동,3.3,서서 등을 스퀴즈,
스탠딩 로우 스위칭 팜스,등,상체근력운동,5.2,서서 손바닥 방향을 바꾸며 로우 수행,
스탠딩 업라이트 팜스 백 스퀴즈,등,유연성및스트레칭운동,3.2,팔을 세워서 백 스퀴즈,
스위머 킥스,등,유산소운동,4,수영 킥 동작을 모방한 유산소운동,
닐링 백 로테이션 스트레치,등,유연성및스트레칭운동,3.4,무릎 꿇고 등 회전 스트레칭,
라잉 랫 풀다운,등,상체근력운동,5.8,누운 자세에서 랫 풀다운 수행,
라잉 프론 W 투 T,등,유연성및스트레칭운동,3.1,W 자세에서 T 자세로 스트레칭,
라잉 프론 W 투 Y,등,유연성및스트레칭운동,3.2,W 자세에서 Y 자세로 스트레칭,
라잉 리버스 푸시업,등,코어강화운동,4.5,누운 상태에서 리버스 푸시업 수행,
팜 프레스 백,등,상체근력운동,5.6,팔을 눌러서 등 근육 강화,
플랭크 암 리프트,등,코어강화운동,4,플랭크 자세에서 팔을 들어올림,
펄스 로우,등,상체근력운동,5.4,펄스 동작으로 로우 수행,
퍼즈 데드리프트,등,전신강화운동,7,중간에 멈춤을 포함한 데드리프트,
버티컬 트랙션,등,상체근력운동,5.8,버티컬 트랙션 머신을 사용한 운동,
TRX 로우,등,상체근력운동,6,TRX를 사용하여 로우 수행,
헤드스탠드,등,코어강화운동,4.7,머리로 서서 코어를 단련,
플레이트 로디드 레터럴 로우,등,상체근력운동,6.2,플레이트 로디드 레터럴 로우 머신 사용,
언더 그립 시티드 케이블 로우,등,상체근력운동,5.7,언더 그립으로 시티드 케이블 로우 수행,
리니어 로우 머신,등,상체근력운동,6,리니어 로우 머신 사용,
벤트 오버 로우 머신,등,상체근력운동,6.1,벤트 오버 로우 머신 사용,
버티컬 로우 머신,등,상체근력운동,6,버티컬 로우 머신 사용,
픽스드 풀다운,등,상체근력운동,5.6,픽스드 풀다운 머신 사용,
해머스트렝스 아이소 레터럴 로우,등,상체근력운동,6.3,아이소 레터럴 로우 수행,
바벨 벤트 오버 로우,등,상체근력운동,6.5,바벨로 벤트 오버 로우 수행,
케이블 벤트 오버 로우,등,상체근력운동,6.4,케이블로 벤트 오버 로우 수행,
어퍼 백 머신,등,상체근력운동,5.8,어퍼 백 머신으로 등 근육 강화,
인클라인 티 바 로우,등,상체근력운동,6.3,인클라인 티 바 로우 수행,
호이스트 시티드 미드 로우,등,상체근력운동,6,호이스트 미드 로우 머신 사용,
덤벨 벤트오버 로우,등,상체근력운동,5.9,덤벨을 사용한 벤트오버 로우,
리버스 펙덱 플라이,등,상체근력운동,5.7,리버스 펙덱 플라이 수행,
벤트오버 와이드 덤벨 로우,등,상체근력운동,6,와이드 그립으로 덤벨 로우 수행,
로우 리어 델트 머신,등,상체근력운동,5.8,리어 델트 머신을 사용한 로우 운동,
밴드 Y 레이즈,등,유연성및스트레칭운동,3.4,밴드를 사용한 Y 자세 스트레칭,
메도우스 로우,등,상체근력운동,6.2,메도우스 스타일의 로우 운동,
투웨이 로우,등,상체근력운동,6.1,두 방향으로 로우 수행,
고릴라 로우,등,상체근력운동,6.5,고릴라 자세로 로우 수행,
Diverging 로우 로우,등,상체근력운동,6,Diverging 로우 머신 사용,
클로즈 맥그립 랫 풀다운,등,상체근력운동,5.9,좁은 맥그립으로 랫 풀다운 수행,
랜드마인 로우,등,상체근력운동,6.2,랜드마인을 사용한 로우 운동,
바벨 스쿼트,하체,하체근력운동,7.5,바벨을 사용하여 하체를 강화하는 기본 스쿼트 운동,
런지,하체,하체근력운동,6.5,하체와 균형을 강화하는 런지 운동,
레그 프레스,하체,하체근력운동,6.8,레그 프레스 머신을 사용한 하체 근력 강화,
레그 컬,하체,하체근력운동,5.5,허벅지 뒤 근육을 강화하는 레그 컬 운동,
바벨 스티프 레그 데드리프트,하체,하체근력운동,6.7,바벨로 수행하는 스티프 레그 데드리프트,
브이 스쿼트,하체,하체근력운동,6.5,브이 자세로 수행하는 하체 근력 강화 스쿼트,
레그 익스텐션,하체,하체근력운동,5.4,허벅지 앞 근육을 강화하는 레그 익스텐션,
덤벨 런지,하체,하체근력운동,6,덤벨을 들고 수행하는 런지,
핵 스쿼트 머신,하체,하체근력운동,6.3,핵 스쿼트 머신을 이용한 하체 강화,
덤벨 스모 스쿼트,하체,하체근력운동,6.2,덤벨을 들고 스모 자세로 수행,
카프 레이즈,하체,하체근력운동,5,종아리 근육을 타겟으로 한 카프 레이즈,
힙 어덕션 머신,하체,하체근력운동,5.4,힙 어덕션 머신으로 내측 허벅지 강화,
힙 어브덕션 머신,하체,하체근력운동,5.6,힙 어브덕션 머신으로 외측 허벅지 강화,
바벨 힙 쓰러스트,하체,하체근력운동,6.8,바벨을 사용한 힙 근육 강화 운동,
스미스 머신 스쿼트,하체,하체근력운동,6.7,스미스 머신에서 수행하는 하체 강화 스쿼트,
원 레그 니 업,하체,하체근력운동,5.8,한쪽 다리를 들어올리는 운동,
바벨 와이드 스쿼트,하체,하체근력운동,7,넓은 스탠스로 수행하는 바벨 스쿼트,
스미스 머신 런지,하체,하체근력운동,6.6,스미스 머신을 활용한 런지,
워킹 런지,하체,하체근력운동,6.4,하체 근력을 강화하며 이동,
바벨 내로우 스쿼트,하체,하체근력운동,6.8,좁은 자세로 수행하는 바벨 스쿼트,
스모 데드리프트,하체,하체근력운동,7.2,스모 자세로 데드리프트 수행,
박스 스쿼트,하체,하체근력운동,6.5,박스를 이용한 스쿼트,
박스 점프,하체,유산소운동,6.3,폭발적인 점프를 통해 하체와 심폐 기능 강화,
덤벨 불가리안 스플릿 스쿼트,하체,하체근력운동,6.7,덤벨을 들고 한쪽 다리로 수행하는 스쿼트,
프론트 스쿼트,하체,하체근력운동,7,바벨을 앞에 두고 수행하는 스쿼트,
글루트 햄 레이즈,하체,하체근력운동,5.8,햄스트링과 엉덩이 근육 강화,
글루트 킥 백,하체,하체근력운동,5.5,엉덩이를 타겟으로 한 킥 백 운동,
고블릿 스쿼트,하체,하체근력운동,6.3,덤벨을 들고 고블릿 자세로 스쿼트,
바벨 핵 스쿼트,하체,하체근력운동,6.8,바벨로 수행하는 핵 스쿼트,
바벨 런지,하체,하체근력운동,6.5,바벨을 들고 런지 수행,
피스톨 스쿼트,하체,하체근력운동,7.2,한쪽 다리로 수행하는 스쿼트,
밴드 스쿼트,하체,하체근력운동,5.9,밴드를 사용하여 저항을 추가한 스쿼트,
덤벨 스쿼트,하체,하체근력운동,6.5,덤벨을 들고 수행하는 스쿼트,
스미스 머신 와이드 스쿼트,하체,하체근력운동,7,스미스 머신에서 와이드 스쿼트,
제르셔 스쿼트,하체,하체근력운동,7.2,제르셔 자세로 수행하는 스쿼트,
힙 익스텐션,하체,하체근력운동,5.5,엉덩이를 강화하는 힙 익스텐션,
백 런지,하체,하체근력운동,6.4,뒤로 수행하는 런지,
힙 쓰러스트 머신,하체,하체근력운동,6.8,힙 근육을 타겟으로 한 쓰러스트 머신 운동,
사이드 런지,하체,하체근력운동,6.2,옆으로 이동하며 하체 근력 강화,
힙 어브덕션,하체,하체근력운동,5.6,엉덩이 외측 근육 강화,
사이드 킥 백,하체,하체근력운동,5.5,옆으로 발을 차는 킥 백,
크로스 런지,하체,하체근력운동,6.4,크로스 자세로 수행하는 런지,
스탠딩 레그 컬,하체,하체근력운동,5.4,스탠딩 자세에서 레그 컬,
시티드 카프레이즈 머신,하체,하체근력운동,5.3,앉은 자세에서 카프레이즈 수행,
시티드 바벨 카프레이즈,하체,하체근력운동,5.5,바벨을 들고 앉은 자세에서 카프레이즈,
케틀벨 스모 데드리프트 하이풀,하체,하체근력운동,7,케틀벨을 사용하여 스모 데드리프트,
펜들럼 스쿼트,하체,하체근력운동,6.5,펜들럼 동작을 포함한 스쿼트,
원 레그 덤벨 데드리프트,하체,하체근력운동,6.8,한쪽 다리로 수행하는 덤벨 데드리프트,
원 레그 바벨 힙쓰러스트,하체,하체근력운동,7,한쪽 다리로 수행하는 바벨 힙쓰러스트,
점프 스쿼트,하체,유산소운동,6.3,점프 동작을 포함한 스쿼트,
원 레그 프레스,하체,하체근력운동,6.9,한쪽 다리로 수행하는 레그 프레스,
카프 레이즈 머신,하체,하체근력운동,5.6,카프레이즈 머신을 사용한 종아리 강화,
힙 익스텐션 머신,하체,하체근력운동,6,힙 익스텐션 머신으로 힙 강화,
와이드 스쿼트,하체,하체근력운동,6.7,넓은 자세로 수행하는 스쿼트,
스쿼트,하체,하체근력운동,6.5,하체 근육을 강화하는 기본 스쿼트,
덤벨 스티프 레그 데드리프트,하체,하체근력운동,6.5,덤벨을 사용하여 하체 근육을 강화하는 스티프 레그 데드리프트,
글루트 킥 백 앤 사이드 킥,하체,하체근력운동,5.5,힙 근육을 타겟으로 한 킥 백과 사이드 킥 결합 운동,
글루트 킥 백 앤 크로스,하체,하체근력운동,5.6,힙 근육을 강화하는 킥 백과 크로스 운동,
니 힙 쓰러스트,하체,하체근력운동,6,무릎을 사용하여 힙 근육을 단련하는 힙 쓰러스트,
사이드 레이즈 앤 킥,하체,하체근력운동,5.4,사이드 레이즈와 킥을 결합한 운동,
스모 스쿼트 플로어 터치,하체,하체근력운동,6.2,스모 스쿼트를 바닥에 손을 대며 수행,
원 레그 데드리프트,하체,하체근력운동,6.8,한쪽 다리로 균형을 잡으며 수행하는 데드리프트,
원 레그 힙 쓰러스트,하체,하체근력운동,7,한쪽 다리로 수행하는 힙 쓰러스트,
하이 니 스쿼트,하체,하체근력운동,6.5,무릎을 높이 들어올리며 수행하는 스쿼트,
힙 쓰러스트,하체,하체근력운동,6.7,힙 근육을 강화하는 기본 힙 쓰러스트,
런지 점프,하체,유산소운동,6.3,점프를 결합한 런지로 하체와 심폐 기능 강화,
월 싯,하체,코어강화운동,5,벽을 이용해 고정 자세로 하체와 코어 강화,
스텝백 핸드레이즈,하체,하체근력운동,5.8,스텝백 동작과 함께 팔을 올려 수행,
시티드 레그 프레스,하체,하체근력운동,5.9,앉은 자세에서 레그 프레스 머신 사용,
버터플라이 고관절 스트레칭,하체,유연성및스트레칭운동,3,버터플라이 자세로 고관절 스트레칭,
라잉 햄스트링 스트레칭,하체,유연성및스트레칭운동,3.2,누운 자세로 햄스트링 스트레칭,
스탠딩 고관절/힙 스트레칭,하체,유연성및스트레칭운동,3.3,서서 고관절과 힙 스트레칭,
라잉 허벅지 스트레칭,하체,유연성및스트레칭운동,3.1,누운 자세로 허벅지 스트레칭,
개구리 고관절 스트레칭,하체,유연성및스트레칭운동,3.4,개구리 자세로 고관절 스트레칭,
종아리 스트레칭,하체,유연성및스트레칭운동,3,종아리 근육을 타겟으로 한 스트레칭,
라잉 고관절 스트레칭,하체,유연성및스트레칭운동,3.1,누운 자세로 고관절 스트레칭,
허리 굽혀 스트레칭,하체,유연성및스트레칭운동,3.2,허리를 굽히며 스트레칭,
싱글 라잉 레그 컬,하체,하체근력운동,5.5,한쪽 다리로 수행하는 레그 컬,
원 레그 익스텐션,하체,하체근력운동,5.6,한쪽 다리로 수행하는 레그 익스텐션,
스텝 박스 덤벨 백 런지,하체,하체근력운동,6,스텝 박스에서 덤벨을 사용한 백 런지,
케틀벨 프론트 스쿼트,하체,하체근력운동,6.5,케틀벨을 사용하여 프론트 스쿼트 수행,
보수볼 하이 니 런지,하체,하체근력운동,6.3,보수볼에서 무릎을 높이 올리며 런지 수행,
케이블 힙 어브덕션,하체,하체근력운동,5.7,케이블 머신으로 힙 근육 외측 강화,
케이블 덩키 킥,하체,하체근력운동,5.6,케이블 머신을 사용한 덩키 킥,
케이블 힙 어덕션,하체,하체근력운동,5.5,케이블로 내측 허벅지 강화,
힙 익스텐션 (케이블),하체,하체근력운동,6,케이블을 사용하여 힙 익스텐션 수행,
폼롤러 글루트,하체,유연성및스트레칭운동,3,폼롤러를 사용하여 엉덩이 근육을 스트레칭,
폼롤러 햄스트링,하체,유연성및스트레칭운동,3.1,폼롤러를 사용하여 햄스트링을 스트레칭,
폼롤러 라잉 콰드러셉스,하체,유연성및스트레칭운동,3.2,누운 자세에서 폼롤러로 허벅지 앞쪽 스트레칭,
폼롤러 렉터스 페머리스,하체,유연성및스트레칭운동,3.1,폼롤러로 대퇴직근을 스트레칭,
스탠딩 콰드러셉스 스트레칭,하체,유연성및스트레칭운동,3.3,서서 허벅지 앞쪽을 스트레칭,
폼롤러 롤 힙 스트레칭,하체,유연성및스트레칭운동,3.2,폼롤러를 사용하여 고관절 스트레칭,
폼롤러 사이드 라잉 퍼로니얼 스트레칭,하체,유연성및스트레칭운동,3.4,폼롤러로 측면 스트레칭,
폼롤러 퍼로니얼,하체,유연성및스트레칭운동,3,폼롤러로 퍼로니얼 근육 스트레칭,
폼롤러 싱글 레그 캐브즈,하체,유연성및스트레칭운동,3.1,폼롤러를 사용하여 한쪽 종아리 스트레칭,
폼롤러 캐브즈,하체,유연성및스트레칭운동,3,폼롤러를 사용하여 종아리 근육을 스트레칭,
폼롤러 햄스트링 앤 글루트,하체,유연성및스트레칭운동,3.2,햄스트링과 엉덩이 근육을 함께 스트레칭,
추천 다리 운동,하체,하체근력운동,6,하체 근력을 강화하는 종합 운동,
힙 글루트 머신,하체,하체근력운동,6.5,힙 글루트를 타겟으로 하는 머신 운동,
앉았다 일어나기,하체,하체근력운동,5,하체 근력을 강화하는 기본 동작,
크로스오버 힙/고관절 스트레칭,하체,유연성및스트레칭운동,3.1,고관절을 타겟으로 한 크로스오버 스트레칭,
런지 고관절 스트레칭,하체,유연성및스트레칭운동,3.2,런지 자세로 고관절 스트레칭,
햄스트링 스트레칭,하체,유연성및스트레칭운동,3.2,햄스트링 근육을 타겟으로 한 스트레칭,
바벨 카프 레이즈,하체,하체근력운동,5.6,바벨을 사용하여 종아리 근력 강화,
바벨 닐링 스쿼트,하체,하체근력운동,6.2,무릎을 굽히며 수행하는 바벨 스쿼트,
덤벨 백 런지,하체,하체근력운동,6,덤벨을 들고 뒤로 이동하며 수행,
박스 피스톨 스쿼트,하체,하체근력운동,7,박스를 사용하여 피스톨 스쿼트 수행,
박스 케틀벨 스쿼트,하체,하체근력운동,6.7,박스에서 케틀벨을 들고 수행,
박스 바벨 스쿼트,하체,하체근력운동,6.8,박스를 사용하여 바벨 스쿼트 수행,
시티드 레그 컬,하체,하체근력운동,5.5,앉은 자세에서 레그 컬 머신 사용,
리버스 하이퍼 머신,하체,하체근력운동,5.8,리버스 하이퍼 머신으로 허리와 엉덩이 강화,
